bh_pri_index;bh_pri_XCOORD;bh_pri_YCOORD;bh_pri_ZCOORDB;bh_pri_ORIGNAME;bh_pri_NAMEPUB;bh_pri_SHORTNAME;bh_pri_BOHREDAT;bh_pri_BOHRTYP;bh_pri_GRUND;bh_pri_RESTRICTIO;bh_pri_TIEFEMD;bh_pri_DEPTHFROM;bh_pri_DEPTHTO;bh_pri_LAYERDESC;bh_pri_ORIGGEOL;bh_pri_LITHOLOGY;bh_pri_LITHOSTRAT;bh_pri_CHRONOSTR;bh_pri_TECTO;bh_pri_USCS1;bh_pri_USCS2;bh_pri_USCS3;bh_pri_geom4326;bh_pri_geom2056;bh_pri_x4326;bh_pri_y4326
3210;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;1.2;2;schwach siltiger Mittelsand, grau;sandige Alluvion (Bachschutt);UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3211;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;2;4.6;schwach siltiger Mittel- bis Grobsand, z.T. schwach tonig, z.T. mit wenig Feinkies bis max. 1 cm Durchmesser, grau;sandige Alluvion (Bachschutt);UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3212;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;4.6;10.4;toniger Silt mit viel Kies und einzelnen Steinen bis 12 cm Durchmesser, z.T. stark toniger Kies, grau, z.T. beige/grau gefleckt, mitteldicht;Moräne (Grundmoräne);UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3213;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;10.4;13;sauberer bis schwach siltiger Mittel- bis Grobsand, gebändert mit Silt-Lagen, vereinzelte Steine bis 12 cm Durchmesser;sandige Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3223;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;37.4;38.2;toniger Kies mit reichlich Sand und mit einzelnen Steinen bis 15 cm Durchmesser, grau;Buechbergschotter, lehmig;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3239;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;53.9;54.3;schwach siltiger Sand, z.T. mit Lagen aus sandigem bis schwach tonigem Silt, gebändert, grau, dicht;Molasse verwittert;Sks;;Ter;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3222;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;33;37.4;"schwach siltiger, z.T. schwach toniger Kies mit reichlich Sand, Durchmesser bis 8 cm, grau
von 33.10 -33.25 toniger Silt, steif, beige/grau (CL)
von 34.80 -34.90 toniger Silt mit Kies (CL)
von 36.00 -36.30 stark toniger Kies, grau, mitteldicht (GC-CL)
bei 37.20 Stein Durchmesser 15 cm";Buechbergschotter;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3241;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;55.75;56;Sandstein, grau, hart;Molassefels (OSM);Sks;;Ter;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3216;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;22;23;schwach siltiger Mittelsand, grau;sandige Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3449;2696996.63;1279549.47;435.34;Cholfirst KB2;Cholfirst KB2;6Q33O3Y900;19.08.1993 00:00;B;erst;g;42;29.2;35.6;siltiger bis toniger mit reichlich Sand, wenig Steine bis max. Durchmesser 12 cm, grau;Schotter;UNC;;q;;;;;POINT (8.72987397666382 47.6594074785235);POINT (2696996.63 1279549.47);8.729873977;47.65940748
